room_type,price,review_scores_rating,accommodates,bedrooms,beds,bed_type,host_is_superhost,bathrooms,availability_365,number_of_reviews,city_normalized,distance_to_city
Shared Room,191.44,54.9,2.0,2.5,3.6,Couch,1,1.3,123,422.2,New York,23.072287
Hotel Room,340.32,58.3,2.3,2.3,2.8,Futon,0,1.6,27,175.8,San Francisco,38.931796
Entire Home/Apt,882.82,96.2,1.3,3.5,2.2,Couch,0,1.7,141,165.9,Chicago,10.568172
Shared Room,996.52,91.1,5.2,1.7,1.9,Couch,0,2.7,157,12.0,Chicago,10.163496
Shared Room,399.89,67.7,9.6,4.4,1.9,Futon,1,1.0,166,384.3,Seattle,16.202365
Hotel Room,476.18,82.8,2.0,4.2,2.6,Airbed,1,2.3,184,165.2,San Francisco,8.350507
Entire Home/Apt,735.97,76.9,9.5,2.9,5.0,Airbed,1,1.3,11,163.6,Chicago,34.24909
Entire Home/Apt,891.89,83.9,7.6,4.4,1.0,Pull-out Sofa,1,2.6,168,344.3,Los Angeles,10.80674
Shared Room,613.39,84.1,6.7,2.0,1.8,Pull-out Sofa,0,2.6,318,126.4,Chicago,12.116019
Private Room,421.95,81.4,6.8,1.1,1.8,Airbed,0,2.0,105,454.5,Chicago,29.171822
Shared Room,441.99,63.3,8.4,3.5,3.9,Airbed,0,1.4,253,269.0,San Francisco,48.399713
Shared Room,710.84,52.0,2.0,2.8,2.4,Airbed,0,2.3,97,484.7,Chicago,45.780246
Shared Room,53.06,72.8,5.5,3.3,2.8,Airbed,1,1.3,118,38.3,New York,43.36034
Shared Room,638.61,94.5,7.3,4.6,1.6,Couch,1,1.4,225,168.4,Chicago,27.015268
Hotel Room,387.72,78.5,6.3,4.9,2.6,Pull-out Sofa,0,2.3,151,190.7,Los Angeles,15.589839
Entire Home/Apt,804.49,91.6,8.5,3.5,1.4,Futon,1,3.0,202,365.2,Chicago,35.582592
Hotel Room,138.34,99.6,1.7,4.1,3.1,Real Bed,0,2.8,162,106.5,Seattle,20.089287
Hotel Room,608.79,58.2,7.2,1.3,1.4,Futon,0,2.2,296,187.7,San Francisco,39.11754
Hotel Room,506.92,84.6,5.8,1.6,4.2,Real Bed,1,2.1,121,455.3,Los Angeles,1.793383
Shared Room,660.21,83.7,4.4,3.9,3.3,Couch,1,3.0,15,57.3,New York,26.947462
Private Room,111.61,99.0,4.1,2.7,3.9,Pull-out Sofa,1,2.1,335,372.7,Chicago,17.530174
Entire Home/Apt,600.98,99.3,6.6,2.8,2.7,Real Bed,1,1.8,105,351.2,Chicago,13.203406
Private Room,583.41,84.3,9.0,2.2,2.5,Airbed,1,2.8,261,65.3,New York,33.430005
Hotel Room,582.63,62.2,5.5,3.4,1.4,Couch,1,1.5,19,344.2,Chicago,33.260293
Hotel Room,623.31,89.9,8.4,1.7,3.1,Real Bed,1,1.2,243,284.9,Seattle,2.816292
Private Room,692.64,55.4,4.6,3.5,3.1,Airbed,1,2.3,243,143.8,Los Angeles,47.437245
